userid,version,sum_gamerounds,retention_1,retention_7,user_spend
1,Gulf of Maine,3,False,False,17.09
2,Gulf of Maine,38,True,False,15.3
7,Gulf of Maine,0,False,False,13.67
12,Gulf of Maine,0,False,False,16.92
14,Gulf of Maine,39,True,False,8.42
15,Gulf of Maine,305,True,False,16.54
16,Gulf of Maine,73,True,False,16.68
17,Gulf of Maine,14,True,False,8.79
18,Gulf of Maine,204,True,False,11.03
19,Gulf of Maine,108,True,True,13.05
22,Gulf of Maine,5,True,True,13.84
24,Gulf of Maine,105,False,False,14.84
25,Gulf of Maine,4,False,True,14.99
26,Gulf of Maine,3,False,False,16.75
27,Gulf of Maine,0,False,True,12.49
30,Gulf of Maine,5,False,False,17.0
32,Gulf of Maine,37,True,True,18.41
33,Gulf of Maine,13,True,False,17.51
34,Gulf of Maine,50,False,False,18.16
37,Gulf of Maine,23,False,True,16.55
38,Gulf of Maine,0,False,False,10.95
39,Gulf of Maine,103,False,False,12.21
40,Gulf of Maine,27,False,False,17.28
42,Gulf of Maine,0,False,False,13.01
45,Gulf of Maine,7,False,False,16.61
46,Gulf of Maine,386,True,False,14.04
48,Gulf of Maine,1,False,False,16.65
49,Gulf of Maine,13,True,True,14.09
50,Gulf of Maine,12,True,False,10.01
52,Gulf of Maine,25,True,False,15.07
53,Gulf of Maine,29,True,False,13.47
54,Gulf of Maine,136,True,True,13.01
55,Gulf of Maine,105,True,False,11.67
59,Gulf of Maine,0,False,False,15.01
60,Gulf of Maine,94,True,False,18.07
62,Gulf of Maine,0,False,False,15.13
67,Gulf of Maine,21,False,False,16.26
70,Gulf of Maine,45,True,False,9.65
73,Gulf of Maine,80,False,False,18.21
74,Gulf of Maine,21,False,False,10.98
76,Gulf of Maine,139,True,False,18.38
77,Gulf of Maine,14,False,False,15.66
78,Gulf of Maine,50,True,False,13.92
81,Gulf of Maine,9,False,True,12.92
83,Gulf of Maine,0,False,False,11.27
84,Gulf of Maine,10,False,False,13.76
86,Gulf of Maine,5,True,False,14.34
87,Gulf of Maine,2,False,False,10.16
88,Gulf of Maine,0,False,False,12.22
89,Gulf of Maine,3,True,False,17.11
91,Gulf of Maine,19,False,False,10.85
97,Gulf of Maine,8,False,False,14.94
102,Gulf of Maine,6,False,True,11.98
104,Gulf of Maine,22,True,False,11.08
106,Gulf of Maine,11,False,False,19.29
110,Gulf of Maine,246,True,False,16.13
113,Gulf of Maine,16,False,False,18.66
116,Gulf of Maine,66,True,False,19.57
117,Gulf of Maine,0,False,False,16.36
118,Gulf of Maine,122,True,False,12.9
119,Gulf of Maine,75,True,False,15.92
120,Gulf of Maine,3,False,False,17.32
122,Gulf of Maine,1,True,False,11.34
123,Gulf of Maine,24,False,False,17.93
124,Gulf of Maine,3,False,True,12.08
125,Gulf of Maine,11,True,False,12.91
127,Gulf of Maine,47,True,False,16.72
130,Gulf of Maine,31,True,True,15.31
131,Gulf of Maine,13,False,False,14.34
132,Gulf of Maine,22,True,False,22.61
133,Gulf of Maine,6,True,False,12.64
136,Gulf of Maine,24,True,False,13.3
137,Gulf of Maine,6,False,False,13.54
139,Gulf of Maine,24,True,False,16.0
144,Gulf of Maine,60,False,False,17.82
146,Gulf of Maine,67,False,False,13.29
147,Gulf of Maine,42,True,False,18.63
149,Gulf of Maine,1,False,False,13.07
150,Gulf of Maine,4,False,False,13.39
151,Gulf of Maine,3,False,False,14.8
152,Gulf of Maine,1,False,False,11.35
155,Gulf of Maine,13,False,True,12.9
156,Gulf of Maine,129,False,False,11.94
158,Gulf of Maine,37,False,True,11.29
160,Gulf of Maine,1,False,False,10.18
162,Gulf of Maine,27,False,True,17.77
164,Gulf of Maine,8,False,False,16.53
165,Gulf of Maine,51,True,True,16.82
166,Gulf of Maine,5,False,False,14.94
168,Gulf of Maine,0,False,False,17.07
172,Gulf of Maine,5,False,False,13.5
176,Gulf of Maine,4,True,False,17.8
180,Gulf of Maine,21,False,True,15.23
181,Gulf of Maine,49,True,False,8.68
183,Gulf of Maine,1,False,False,19.81
184,Gulf of Maine,46,True,False,15.34
186,Gulf of Maine,1,False,False,13.79
187,Gulf of Maine,14,False,True,13.72
189,Gulf of Maine,104,True,False,12.83
190,Gulf of Maine,6,False,False,16.83
193,Gulf of Maine,8,False,True,18.71
195,Gulf of Maine,1,False,False,10.04
196,Gulf of Maine,38,True,False,13.65
197,Gulf of Maine,13,False,False,14.35
198,Gulf of Maine,20,True,False,17.65
201,Gulf of Maine,11,False,False,16.03
204,Gulf of Maine,72,True,False,15.9
211,Gulf of Maine,65,False,True,16.73
213,Gulf of Maine,5,True,False,15.95
214,Gulf of Maine,4,False,False,11.61
215,Gulf of Maine,8,False,False,14.4
216,Gulf of Maine,0,False,False,15.92
219,Gulf of Maine,108,True,False,15.9
224,Gulf of Maine,10,False,False,17.13
226,Gulf of Maine,13,True,False,12.58
232,Gulf of Maine,20,True,False,13.86
239,Gulf of Maine,4,False,False,17.37
243,Gulf of Maine,274,True,False,10.88
244,Gulf of Maine,17,False,False,12.88
250,Gulf of Maine,8,False,False,13.04
251,Gulf of Maine,9,False,False,17.31
252,Gulf of Maine,8,True,True,16.21
257,Gulf of Maine,134,True,False,13.39
259,Gulf of Maine,2,False,False,14.87
260,Gulf of Maine,22,True,True,13.08
261,Gulf of Maine,6,False,False,15.97
263,Gulf of Maine,0,False,False,13.79
264,Gulf of Maine,0,False,False,18.24
266,Gulf of Maine,152,True,True,8.03
268,Gulf of Maine,8,True,False,14.7
270,Gulf of Maine,0,False,False,15.85
271,Gulf of Maine,100,True,False,17.3
273,Gulf of Maine,10,False,False,12.07
275,Gulf of Maine,147,True,False,16.36
276,Gulf of Maine,391,True,False,17.04
277,Gulf of Maine,18,False,False,15.64
279,Gulf of Maine,19,True,False,8.79
280,Gulf of Maine,4,False,False,15.83
281,Gulf of Maine,14,False,False,23.85
282,Gulf of Maine,61,True,False,15.71
285,Gulf of Maine,75,False,False,16.39
286,Gulf of Maine,57,True,False,12.52
287,Gulf of Maine,35,True,False,15.58
288,Gulf of Maine,9,False,False,15.19
289,Gulf of Maine,13,False,True,17.49
290,Gulf of Maine,1,False,False,16.51
291,Gulf of Maine,20,False,False,16.2
296,Gulf of Maine,51,True,False,19.33
298,Gulf of Maine,2,False,True,17.36
302,Gulf of Maine,260,True,False,11.44
304,Gulf of Maine,4,False,False,11.72
305,Gulf of Maine,7,True,False,13.57
306,Gulf of Maine,0,False,False,12.49
307,Gulf of Maine,8,True,False,13.17
308,Gulf of Maine,48,True,False,12.99
310,Gulf of Maine,61,False,False,17.17
311,Gulf of Maine,1,False,False,18.56
312,Gulf of Maine,12,True,False,15.17
313,Gulf of Maine,270,True,False,16.42
314,Gulf of Maine,59,False,False,13.53
315,Gulf of Maine,141,True,False,15.98
316,Gulf of Maine,53,False,False,19.4
319,Gulf of Maine,0,False,False,17.38
320,Gulf of Maine,37,True,False,18.57
321,Gulf of Maine,467,True,False,17.19
326,Gulf of Maine,40,False,False,12.25
327,Gulf of Maine,9,False,False,16.55
329,Gulf of Maine,12,False,True,12.68
330,Gulf of Maine,6,False,False,16.6
334,Gulf of Maine,77,False,False,12.37
335,Gulf of Maine,4,False,False,15.14
338,Gulf of Maine,3,False,False,20.39
340,Gulf of Maine,33,True,False,16.0
346,Gulf of Maine,222,True,False,9.54
349,Gulf of Maine,29,True,False,12.47
351,Gulf of Maine,16,False,False,10.25
352,Gulf of Maine,10,True,False,12.75
355,Gulf of Maine,84,True,True,18.31
356,Gulf of Maine,1,False,False,16.6
358,Gulf of Maine,43,True,False,10.57
359,Gulf of Maine,50,True,False,14.37
360,Gulf of Maine,23,True,True,19.09
361,Gulf of Maine,5,False,False,14.31
362,Gulf of Maine,21,True,False,16.3
363,Gulf of Maine,48,True,True,12.94
365,Gulf of Maine,13,True,False,19.75
366,Gulf of Maine,41,True,False,12.08
367,Gulf of Maine,5,False,True,15.57
369,Gulf of Maine,303,True,False,15.27
372,Gulf of Maine,4,True,False,17.52
374,Gulf of Maine,5,False,False,12.69
377,Gulf of Maine,3,False,False,13.68
380,Gulf of Maine,177,True,True,13.42
383,Gulf of Maine,39,True,False,9.45
384,Gulf of Maine,12,True,False,17.55
385,Gulf of Maine,12,True,False,16.54
387,Gulf of Maine,9,True,False,15.83
388,Gulf of Maine,216,True,False,12.55
390,Gulf of Maine,9,False,False,17.9
391,Gulf of Maine,227,False,True,14.88
392,Gulf of Maine,0,False,False,16.53
393,Gulf of Maine,87,True,False,16.76
394,Gulf of Maine,71,True,False,16.77
397,Gulf of Maine,55,True,False,14.07
400,Gulf of Maine,1,False,True,12.41
