Date,Close/Last,Volume,Open,High,Low
11/14/2025,$14.60,4632733,$14.93,$15.11,$14.13
11/13/2025,$15.06,4082496,$16.40,$16.84,$15.04
11/12/2025,$16.15,6184328,$15.63,$16.55,$15.5665
11/11/2025,$15.44,7981932,$16.23,$16.245,$14.805
11/10/2025,$16.35,7033631,$17.91,$17.985,$16.22
11/07/2025,$18.03,6298969,$18.94,$19.79,$17.43
11/06/2025,$18.39,6533307,$20.09,$20.2554,$18.27
11/05/2025,$20.38,3269830,$21.25,$21.34,$20.11
11/04/2025,$21.17,3959712,$22.03,$22.21,$21.08
11/03/2025,$22.70,3296670,$22.80,$23.205,$22.395
10/31/2025,$22.98,2944045,$22.40,$23.26,$22.04
10/30/2025,$22.58,2713227,$23.19,$23.64,$22.49
10/29/2025,$23.74,4266912,$25.75,$25.94,$23.41
10/28/2025,$25.97,2397664,$26.57,$26.79,$25.86
10/27/2025,$26.74,5621780,$26.11,$27.37,$25.915
10/24/2025,$25.71,3498723,$24.80,$25.87,$24.80
10/23/2025,$24.92,4357178,$24.78,$25.22,$24.03
10/22/2025,$24.57,7617861,$25.50,$26.68,$24.22
10/21/2025,$25.63,16346940,$21.81,$26.705,$21.56
10/20/2025,$21.77,2933690,$21.00,$21.80,$20.94
10/17/2025,$20.88,4186693,$21.40,$21.62,$20.76
10/16/2025,$21.26,3740847,$20.55,$21.385,$20.37
10/15/2025,$20.60,3658361,$21.16,$21.39,$20.56
10/14/2025,$21.37,2652028,$20.10,$21.735,$20.00
10/13/2025,$20.60,2548601,$20.00,$20.895,$20.00
10/10/2025,$20.06,4175507,$21.24,$21.58,$20.02
10/09/2025,$21.13,3310918,$21.72,$21.96,$21.00
10/08/2025,$21.71,4115638,$21.58,$21.80,$20.87
10/07/2025,$21.30,4738873,$22.43,$22.43,$21.26
10/06/2025,$22.43,2978333,$24.05,$24.13,$22.325
10/03/2025,$23.89,2793427,$23.45,$24.005,$23.1475
10/02/2025,$23.39,2813576,$22.65,$23.49,$22.40
10/01/2025,$22.69,3062052,$22.51,$23.03,$21.76
09/30/2025,$22.72,4696672,$22.38,$22.86,$22.06
09/29/2025,$22.40,2842571,$22.19,$22.61,$21.9201
09/26/2025,$21.90,4073856,$21.55,$22.75,$21.29
09/25/2025,$21.06,3645110,$22.03,$22.125,$20.79
09/24/2025,$22.11,2503012,$22.45,$22.85,$21.92
09/23/2025,$22.40,5088620,$21.40,$22.51,$21.26
09/22/2025,$21.40,4430603,$22.43,$22.53,$21.365
09/19/2025,$22.32,7744670,$22.60,$23.26,$22.31
09/18/2025,$22.81,2011100,$23.60,$23.73,$22.67
09/17/2025,$23.19,3109795,$24.16,$24.16,$23.17
09/16/2025,$24.07,3332256,$24.15,$24.34,$23.49
09/15/2025,$24.11,5234381,$23.71,$24.28,$22.915
09/12/2025,$23.45,4921898,$22.58,$23.88,$22.32
09/11/2025,$21.76,3365883,$21.655,$22.34,$21.3001
09/10/2025,$21.66,8085330,$22.85,$22.94,$21.54
09/09/2025,$23.01,3924038,$23.73,$23.90,$22.8717
09/08/2025,$23.84,3821514,$24.82,$24.89,$23.84
09/05/2025,$24.97,3912893,$25.61,$26.305,$24.69
09/04/2025,$25.58,5395228,$23.64,$25.86,$23.40
09/03/2025,$23.66,2913145,$22.74,$23.69,$22.46
09/02/2025,$23.17,4889618,$22.36,$23.21,$21.9086
08/29/2025,$22.69,2933162,$23.11,$23.13,$22.57
08/28/2025,$23.17,2622256,$23.93,$23.93,$22.78
08/27/2025,$23.73,2696523,$24.00,$24.2992,$23.45
08/26/2025,$24.00,2436555,$25.22,$25.31,$23.99
08/25/2025,$25.48,2032262,$26.01,$26.05,$25.19
08/22/2025,$26.05,4157124,$25.71,$26.88,$25.645
08/21/2025,$25.59,1825776,$25.78,$26.25,$24.965
08/20/2025,$26.13,2276541,$26.02,$26.22,$25.495
08/19/2025,$25.98,5132160,$25.76,$26.18,$25.47
08/18/2025,$25.66,4912376,$25.37,$25.68,$24.72
08/15/2025,$25.54,2711847,$27.00,$27.37,$25.54
08/14/2025,$26.71,5681191,$25.81,$26.74,$25.20
08/13/2025,$26.36,5054145,$25.68,$26.58,$24.90
08/12/2025,$25.60,5225891,$24.70,$25.71,$24.4902
08/11/2025,$24.40,6387146,$24.10,$24.61,$23.38
08/08/2025,$23.79,5598571,$24.74,$25.32,$23.48
